procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 12 906752 422400 184320 5709824    0    4 18244  9120 4821 9210  9  3 25 63  0
 0 14 906752 418304 184320 5711872    0    0 19102  8844 4902 9388  8  3 24 65  0
 2 11 907008 415232 184320 5713920   12   16 17988  9502 4788 9104 10  3 25 62  0
 1 13 907008 411136 184320 5715968    0    0 18844  9218 4855 9277  9  4 24 63  0
 0 15 907264 408064 184320 5718016    8   12 19422  8990 4933 9412  9  3 23 65  0
 1 12 907264 404992 184320 5720064    0    0 18102  9344 4801 9188 10  3 25 62  0
 2 13 907520 401920 184320 5722112    4    8 18988  9102 4877 9301  8  3 24 65  0
 0 14 907520 398848 184320 5724160    0    0 19244  8922 4911 9366  9  3 24 64  0
 1 12 907776 395776 184320 5726208    0    4 18422  9411 4832 9224  9  4 25 62  0
 1 13 907776 392704 184320 5728256    0    0 18901  9088 4889 9312  9  3 24 64  0
